Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
20365153,Financial Accounting for Executives and MBAs by Paul J. Simko (2013-05-04),Paul J. Simko,"Simko, Paul J.","Kenneth R. Ferris, James S. Wallace","=""1618530461""","=""9781618530462""",4,3.23,Cambridge Business Publishers,Hardcover,497,2013,,,2015/09/18,,,read,,,,1,0
8699986,Cat's Cradle,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""""","=""""",4,4.15,RosettaBooks,Kindle Edition,306,2010,1963,2015/08/29,2015/08/29,,,read,,,,1,0
6314671,The Drunkard's Walk: How Randomness Rules Our Lives,Leonard Mlodinow,"Mlodinow, Leonard",,"=""0307275175""","=""9780307275172""",3,3.95,Vintage,Paperback,238,2009,2008,,2015/08/09,,,read,,,,1,0
20111334,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast for Crows (A Song of Ice and Fire #1-4),George R.R. Martin,"Martin, George R.R.",,"=""""","=""""",5,4.63,Bantam,Kindle Edition,3936,2011,2011,,2015/08/09,,,read,,,,1,0
18371690,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,"Brosh, Allie",,"=""147676459X""","=""9781476764597""",5,4.17,Touchstone,Hardcover,369,2013,2013,,2015/08/09,,,read,,,,1,0
2039456,Perry's Chemical Engineer's Handbook,Don W. Green,"Green, Don W.",Robert H. Perry,"=""0071422943""","=""9780071422949""",5,4.35,McGraw-Hill Professional Pub,Hardcover,2400,2007,1950,,2015/08/09,,,read,,,,1,0
17347788,Chemical Engineering PE Practice Exam (Realistic Practice for the Chemical PE Exam),Marta Vasquez PhD  PE,"PE, Marta Vasquez PhD",Robert R. Zinn,"=""1591264294""","=""9781591264293""",4,4.00,"PPI, A Kaplan Company",Paperback,136,2013,2013,,2015/08/09,,,read,,,,1,0
11021913,Bossypants,Tina Fey,"Fey, Tina",,"=""""","=""""",3,3.96,Reagan Arthur Books,Kindle Edition,290,2011,2011,,2015/08/09,,,read,,,,1,0
62291,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,"Martin, George R.R.",,"=""055357342X""","=""9780553573428""",5,4.55,Bantam,Mass Market Paperback,1177,2003,2000,2013/10/22,2013/09/19,,,read,,,,1,0
2834890,"The Long Road Home (Stephen King's The Dark Tower: Beginnings, #2)",Robin Furth,"Furth, Robin","Peter David, Jae Lee, Richard Isanove, Stephen        King","=""0785127097""","=""9780785127093""",5,4.18,Marvel,Hardcover,160,2008,2008,,2013/09/19,,,read,,,,1,0
